L1,L2,L3,L4,L5,M12,tb
0.164637,0.303309,0.129386,-0.325943,-0.144931,-30903.,2.07321
0.164637,0.303309,0.129386,-0.325943,-0.144931,-31622.8,2.07321
0.164637,0.303309,0.129386,-0.325943,-0.144931,-32359.4,2.07321
0.164689,0.303335,0.129441,-0.325457,-0.143711,-30199.5,2.07321
0.164689,0.303335,0.129441,-0.325457,-0.143711,-30903.,2.07321
0.164689,0.303335,0.129441,-0.325457,-0.143711,-31622.8,2.07321
0.164741,0.30336,0.129495,-0.324975,-0.142494,-29512.1,2.07321
0.164741,0.30336,0.129495,-0.324975,-0.142494,-30199.5,2.07321
0.164741,0.30336,0.129495,-0.324975,-0.142494,-30903.,2.07321
0.164741,0.30336,0.129495,-0.324975,-0.142494,-31622.8,2.07321
0.164792,0.303385,0.129549,-0.324498,-0.141279,-28840.3,2.07321
0.164792,0.303385,0.129549,-0.324498,-0.141279,-29512.1,2.07321
0.164792,0.303385,0.129549,-0.324498,-0.141279,-30199.5,2.07321
0.164792,0.303385,0.129549,-0.324498,-0.141279,-30903.,2.07321
0.164843,0.303409,0.129602,-0.324025,-0.140067,-28840.3,2.07321
0.164843,0.303409,0.129602,-0.324025,-0.140067,-29512.1,2.07321
0.164843,0.303409,0.129602,-0.324025,-0.140067,-30199.5,2.07321
0.164893,0.303434,0.129655,-0.323556,-0.138857,-28183.8,2.07321
0.164893,0.303434,0.129655,-0.323556,-0.138857,-28840.3,2.07321
0.164893,0.303434,0.129655,-0.323556,-0.138857,-29512.1,2.07321
0.164893,0.303434,0.129655,-0.323556,-0.138857,-30199.5,2.07321
0.164943,0.303458,0.129707,-0.323092,-0.137649,-28183.8,2.07321
0.164943,0.303458,0.129707,-0.323092,-0.137649,-28840.3,2.07321
0.164943,0.303458,0.129707,-0.323092,-0.137649,-29512.1,2.07321
0.164993,0.303482,0.129758,-0.322632,-0.136443,-27542.3,2.07321
0.164993,0.303482,0.129758,-0.322632,-0.136443,-28183.8,2.07321
0.164993,0.303482,0.129758,-0.322632,-0.136443,-28840.3,2.07321
0.164993,0.303482,0.129758,-0.322632,-0.136443,-29512.1,2.07321
